Respondent,Tweet,College,Ideology,Engagement_Like,Engagement_Retweet with quote,Engagement_Retweet without quote,Engagement_Click on author's profile,Engagement_View replies,Engagement_Write reply,Engagement_Ignore/keep scrolling,Reaction_Fear,Reaction_Hope,Reaction_Sadness,Reaction_Joy,Reaction_Distress,Reaction_Relief,Reaction_Frustration,Reaction_Empathy,Reaction_Dissension,Reaction_Agreement,Reaction_NONE
3,17,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
3,18,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,1,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,2,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,3,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,4,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,5,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
4,6,duke university,Liberal,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0
4,7,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,8,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,9,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,10,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0
4,11,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
4,12,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,13,duke university,Liberal,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4,14,duke university,Liberal,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0
4,15,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
4,16,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
4,17,duke university,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
4,18,duke university,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,1,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
5,2,duke university,Moderately Liberal,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0
5,3,duke university,Moderately Liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5,4,duke university,Moderately Liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
5,5,duke university,Moderately Liberal,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0
5,6,duke university,Moderately Liberal,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0
5,7,duke university,Moderately Liberal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,8,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5,9,duke university,Moderately Liberal,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5,10,duke university,Moderately Liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
5,11,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5,12,duke university,Moderately Liberal,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5,13,duke university,Moderately Liberal,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
5,14,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5,15,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
5,16,duke university,Moderately Liberal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
5,17,duke university,Moderately Liberal,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
5,18,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,1,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,2,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,3,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,4,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,5,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,6,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,7,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,8,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,9,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,10,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,11,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,12,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,13,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,14,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,15,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,16,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,17,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
6,18,duke university,Conservative,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,1,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,2,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,3,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,4,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,5,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,6,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,7,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,8,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,9,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,10,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,11,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,12,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,13,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,14,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,15,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,16,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,17,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
7,18,university of arizona,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,1,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,2,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8,3,duke university,Extremely liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,4,duke university,Extremely liberal,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,5,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,6,duke university,Extremely liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
8,7,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,8,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
8,9,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
8,10,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0
8,11,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
8,12,duke university,Extremely liberal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
8,13,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
8,14,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
8,15,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
8,16,duke university,Extremely liberal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,17,duke university,Extremely liberal,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
8,18,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
9,1,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,2,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,3,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,4,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,5,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,6,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,7,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,8,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,9,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
9,10,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,11,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,12,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,13,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
9,14,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
9,15,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,16,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,17,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
9,18,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,1,east carolina university,Centrist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,2,east carolina university,Centrist,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
10,3,east carolina university,Centrist,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,4,east carolina university,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
10,5,east carolina university,Centrist,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,6,east carolina university,Centrist,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,7,east carolina university,Centrist,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
10,8,east carolina university,Centrist,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,9,east carolina university,Centrist,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
10,10,east carolina university,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,11,east carolina university,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,12,east carolina university,Centrist,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
10,13,east carolina university,Centrist,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,14,east carolina university,Centrist,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
10,15,east carolina university,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
10,16,east carolina university,Centrist,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
10,17,east carolina university,Centrist,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
10,18,east carolina university,Centrist,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
11,1,duke university,Moderately Liberal,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
11,2,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,3,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
11,4,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,5,duke university,Moderately Liberal,1,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0
11,6,duke university,Moderately Liberal,0,0,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,0
11,7,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11,8,duke university,Moderately Liberal,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,0,0,0
11,9,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,10,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
11,11,duke university,Moderately Liberal,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0
11,12,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
11,13,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,14,duke university,Moderately Liberal,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0
11,15,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11,16,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,17,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
11,18,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
12,1,duke university,Moderately Liberal,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0
12,2,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
12,3,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,4,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,5,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,6,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
12,7,duke university,Moderately Liberal,1,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0
12,8,duke university,Moderately Liberal,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
12,9,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
12,10,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,11,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,12,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,13,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
12,14,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,15,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
12,16,duke university,Moderately Liberal,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12,17,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
12,18,duke university,Moderately Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
13,1,connecticut college,Liberal,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,2,connecticut college,Liberal,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,3,connecticut college,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13,4,connecticut college,Liberal,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
13,5,connecticut college,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
13,6,connecticut college,Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0
13,7,connecticut college,Liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,8,connecticut college,Liberal,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,0,0
13,9,connecticut college,Liberal,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
13,10,connecticut college,Liberal,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0
13,11,connecticut college,Liberal,0,0,0,0,0,0,1,1,0,1,0,1,0,1,0,1,0,0
13,12,connecticut college,Liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
13,13,connecticut college,Liberal,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
13,14,connecticut college,Liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
13,15,connecticut college,Liberal,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0
13,16,connecticut college,Liberal,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0
13,17,connecticut college,Liberal,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0
13,18,connecticut college,Liberal,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0
14,1,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
14,2,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,3,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
14,4,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,5,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,6,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,7,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,8,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,9,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,10,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,11,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,12,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,13,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,14,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
14,15,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
14,16,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
14,17,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
14,18,duke university,Extremely liberal,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
15,1,duke university,Extremely liberal,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
15,2,duke university,Extremely liberal,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0
15,3,duke university,Extremely liberal,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,4,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
15,5,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,6,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,7,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,8,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,9,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
15,10,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,11,duke university,Extremely liberal,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0
15,12,duke university,Extremely liberal,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
